
Predictions were generated on 09-Oct-2022 at 16:13:36 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 32-bit application using single precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); InflowWind (v3.03.00, 26-Jul-2016); AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016); ServoDyn (v1.06.00a-bjj, 26-Jul-2016)

Description from the FAST input file: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time      	Wind1VelX 	BldPitch1 	RotSpeed  	TTDspFA   	TwrBsMyt  	LSShftTq  	RootMyc1  	GenPwr    	GenTq     
(s)       	(m/s)     	(deg)     	(rpm)     	(m)       	(kN·m)    	(kN·m)    	(kN·m)    	(kW)      	(kN·m)    
    0.0000	 8.000E+00	 0.000E+00	 9.155E+00	 1.970E-01	 3.271E+04	-1.495E-03	 5.943E+03	 1.764E+03	 2.009E+01
    0.0125	 8.000E+00	 0.000E+00	 9.203E+00	 1.970E-01	 3.272E+04	 1.143E+02	 6.107E+03	 1.738E+03	 1.989E+01
    0.0250	 8.000E+00	 0.000E+00	 9.251E+00	 1.971E-01	 3.271E+04	 3.292E+02	 6.292E+03	 1.715E+03	 1.972E+01
    0.0375	 8.000E+00	 0.000E+00	 9.277E+00	 1.972E-01	 3.265E+04	 6.116E+02	 5.892E+03	 1.695E+03	 1.957E+01
    0.0500	 8.000E+00	 0.000E+00	 9.290E+00	 1.973E-01	 3.260E+04	 9.384E+02	 5.878E+03	 1.680E+03	 1.945E+01
    0.0625	 8.000E+00	 0.000E+00	 9.292E+00	 1.974E-01	 3.258E+04	 1.285E+03	 6.027E+03	 1.670E+03	 1.937E+01
    0.0750	 8.000E+00	 0.000E+00	 9.279E+00	 1.976E-01	 3.255E+04	 1.625E+03	 5.995E+03	 1.665E+03	 1.933E+01
    0.0875	 8.000E+00	 0.000E+00	 9.254E+00	 1.977E-01	 3.253E+04	 1.939E+03	 5.993E+03	 1.663E+03	 1.932E+01
    0.1000	 8.000E+00	 0.000E+00	 9.217E+00	 1.979E-01	 3.250E+04	 2.202E+03	 5.926E+03	 1.666E+03	 1.934E+01
    0.1125	 8.000E+00	 0.000E+00	 9.174E+00	 1.981E-01	 3.251E+04	 2.404E+03	 5.933E+03	 1.672E+03	 1.939E+01
    0.1250	 8.000E+00	 0.000E+00	 9.127E+00	 1.984E-01	 3.253E+04	 2.536E+03	 5.883E+03	 1.680E+03	 1.945E+01
    0.1375	 8.000E+00	 0.000E+00	 9.083E+00	 1.986E-01	 3.258E+04	 2.598E+03	 5.899E+03	 1.689E+03	 1.952E+01
    0.1500	 8.000E+00	 0.000E+00	 9.044E+00	 1.989E-01	 3.265E+04	 2.597E+03	 5.845E+03	 1.698E+03	 1.959E+01
    0.1625	 8.000E+00	 0.000E+00	 9.015E+00	 1.992E-01	 3.275E+04	 2.545E+03	 5.864E+03	 1.707E+03	 1.966E+01
    0.1750	 8.000E+00	 0.000E+00	 8.997E+00	 1.994E-01	 3.287E+04	 2.459E+03	 5.816E+03	 1.715E+03	 1.972E+01
    0.1875	 8.000E+00	 0.000E+00	 8.994E+00	 1.997E-01	 3.302E+04	 2.356E+03	 5.843E+03	 1.722E+03	 1.977E+01
    0.2000	 8.000E+00	 0.000E+00	 9.004E+00	 2.000E-01	 3.318E+04	 2.256E+03	 5.794E+03	 1.727E+03	 1.981E+01
    0.2125	 8.000E+00	 0.000E+00	 9.028E+00	 2.004E-01	 3.338E+04	 2.177E+03	 5.834E+03	 1.731E+03	 1.984E+01
    0.2250	 8.000E+00	 0.000E+00	 9.062E+00	 2.007E-01	 3.357E+04	 2.131E+03	 5.777E+03	 1.734E+03	 1.987E+01
    0.2375	 8.000E+00	 0.000E+00	 9.104E+00	 2.010E-01	 3.379E+04	 2.128E+03	 5.822E+03	 1.737E+03	 1.989E+01
    0.2500	 8.000E+00	 0.000E+00	 9.150E+00	 2.013E-01	 3.399E+04	 2.172E+03	 5.779E+03	 1.740E+03	 1.991E+01
    0.2625	 8.000E+00	 0.000E+00	 9.197E+00	 2.017E-01	 3.420E+04	 2.263E+03	 5.826E+03	 1.744E+03	 1.994E+01
    0.2750	 8.000E+00	 0.000E+00	 9.240E+00	 2.020E-01	 3.440E+04	 2.391E+03	 5.790E+03	 1.749E+03	 1.998E+01
    0.2875	 8.000E+00	 0.000E+00	 9.277E+00	 2.023E-01	 3.458E+04	 2.548E+03	 5.846E+03	 1.756E+03	 2.003E+01
    0.3000	 8.000E+00	 0.000E+00	 9.304E+00	 2.027E-01	 3.474E+04	 2.716E+03	 5.810E+03	 1.766E+03	 2.011E+01
    0.3125	 8.000E+00	 0.000E+00	 9.322E+00	 2.030E-01	 3.488E+04	 2.881E+03	 5.875E+03	 1.777E+03	 2.019E+01
