
Predictions were generated on 27-Oct-2022 at 10:58:51 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 32-bit application using single precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); InflowWind (v3.03.00, 26-Jul-2016); AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016); ServoDyn (v1.06.00a-bjj, 26-Jul-2016)

Description from the FAST input file: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time      	Wind1VelX 	BldPitch1 	RotSpeed  	TTDspFA   	TwrBsMyt  	LSShftTq  	RootMyc1  	GenPwr    	GenTq     
(s)       	(m/s)     	(deg)     	(rpm)     	(m)       	(kN·m)    	(kN·m)    	(kN·m)    	(kW)      	(kN·m)    
    0.0000	 2.000E+01	 1.747E+01	 1.210E+01	 1.670E-01	 2.764E+04	-2.170E-03	 2.661E+03	 5.000E+03	 4.309E+01
    0.0125	 2.000E+01	 1.747E+01	 1.218E+01	 1.670E-01	 2.768E+04	 2.153E+02	 3.079E+03	 4.966E+03	 4.314E+01
    0.0250	 2.000E+01	 1.742E+01	 1.225E+01	 1.669E-01	 2.771E+04	 6.181E+02	 3.309E+03	 4.938E+03	 4.323E+01
    0.0375	 2.000E+01	 1.735E+01	 1.229E+01	 1.669E-01	 2.768E+04	 1.150E+03	 2.953E+03	 4.918E+03	 4.334E+01
    0.0500	 2.000E+01	 1.727E+01	 1.230E+01	 1.668E-01	 2.769E+04	 1.771E+03	 3.032E+03	 4.905E+03	 4.347E+01
    0.0625	 2.000E+01	 1.718E+01	 1.229E+01	 1.667E-01	 2.773E+04	 2.434E+03	 3.235E+03	 4.899E+03	 4.360E+01
    0.0750	 2.000E+01	 1.710E+01	 1.226E+01	 1.665E-01	 2.776E+04	 3.094E+03	 3.316E+03	 4.898E+03	 4.373E+01
    0.0875	 2.000E+01	 1.702E+01	 1.221E+01	 1.663E-01	 2.778E+04	 3.712E+03	 3.427E+03	 4.903E+03	 4.384E+01
    0.1000	 2.000E+01	 1.695E+01	 1.214E+01	 1.661E-01	 2.780E+04	 4.254E+03	 3.553E+03	 4.911E+03	 4.393E+01
    0.1125	 2.000E+01	 1.690E+01	 1.206E+01	 1.659E-01	 2.782E+04	 4.696E+03	 3.700E+03	 4.921E+03	 4.401E+01
    0.1250	 2.000E+01	 1.686E+01	 1.197E+01	 1.656E-01	 2.783E+04	 5.027E+03	 3.858E+03	 4.933E+03	 4.406E+01
    0.1375	 2.000E+01	 1.683E+01	 1.190E+01	 1.654E-01	 2.783E+04	 5.245E+03	 4.022E+03	 4.945E+03	 4.409E+01
    0.1500	 2.000E+01	 1.682E+01	 1.183E+01	 1.652E-01	 2.781E+04	 5.363E+03	 4.185E+03	 4.957E+03	 4.411E+01
    0.1625	 2.000E+01	 1.682E+01	 1.179E+01	 1.650E-01	 2.778E+04	 5.401E+03	 4.341E+03	 4.968E+03	 4.410E+01
    0.1750	 2.000E+01	 1.683E+01	 1.176E+01	 1.648E-01	 2.774E+04	 5.383E+03	 4.482E+03	 4.978E+03	 4.409E+01
    0.1875	 2.000E+01	 1.684E+01	 1.176E+01	 1.647E-01	 2.768E+04	 5.339E+03	 4.604E+03	 4.986E+03	 4.406E+01
    0.2000	 2.000E+01	 1.686E+01	 1.179E+01	 1.647E-01	 2.761E+04	 5.296E+03	 4.701E+03	 4.993E+03	 4.403E+01
